apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

facebook|10|+|3

google|3|20|2

apple|20|+|3
apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

apple|20|+|3

google|3|20|2

facebook|1|25|1

IBM|4|8|2

facebook|10|*|3

apple|1|10|1

google|3|20|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

apple|20|+|3

IBM|4|8|2

apple|1|10|1

facebook|10|-|3

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

facebook|10|+|
3
google|3|20|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

facebook|10|*|3

apple|20|+|3

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

google|3|+|3

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

facebook|10|-|3

google|3|20|2

google|8|*|3

apple|1|10|1

IBM|4|-|3

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1
apple|20|+|3

google|3|20|2

facebook|1|25|1

IBM|4|8|2

apple|1|10|1
google|3|20|2

apple|1|10|1

IBM|4|-|3

google|8|*|3

google|3|20|2

facebook|10|-|3

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

apple|20|+|3

IBM|4|8|2

apple|1|10|1

IBM|4|+|3

google|3|20|2

apple|1|10|1

google|3|20|2

facebook|1|25|1

google|8|*|3

IBM|4|+|3

IBM|4|8|2

apple|1|10|1

google|3|20|2

facebook|10|+|3

google|8|-|3

facebook|1|25|1

IBM|4|8|2

apple|1|10|1

google|3|20|2
